,bug_id,title,desc,total
0,11587,65,9980,10045
1,12398,31,448,479
2,12772,41,2768,2809
3,13725,68,1187,1255
4,14047,73,466,539
5,17289,60,333,393
6,17825,57,445,502
7,17993,75,1665,1740
8,18705,44,418,462
9,18934,63,642,705
10,19089,49,449,498
11,19925,49,16340,16389
12,21212,96,2296,2392
13,21706,52,1326,1378
14,21834,50,1496,1546
15,23787,85,640,725
16,23935,57,603,660
17,24106,75,2872,2947
18,24877,54,984,1038
19,27869,47,969,1016
20,31627,93,1221,1314
21,32286,77,1444,1521
22,32770,65,714,779
23,35156,61,1462,1523
24,41039,96,1150,1246
25,41347,71,1164,1235
26,42225,47,588,635
27,42724,69,1182,1251
28,42882,62,2261,2323
29,44164,75,644,719
30,45145,54,628,682
