,bug_id,feature_com,feature,score
0,12906,OB,OB,0.2969103157520294
1,12906,EB,EB,0.2688769996166229
2,12906,SR,SR,0.2917889356613159
3,12906,OB EB,OB,0.3221169114112854
4,12906,OB EB,EB,0.26251471042633057
5,12906,OB SR,OB,0.28441253304481506
6,12906,OB SR,SR,0.30592501163482666
7,12906,EB SR,EB,0.22591842710971832
8,12906,EB SR,SR,0.30948010087013245
9,14197,OB,OB,0.12415924668312073
10,14197,EB,EB,0.31305307149887085
11,14197,SR,SR,0.14597401022911072
12,14197,OB EB,OB,0.128755122423172
13,14197,OB EB,EB,0.3177993893623352
14,14197,OB SR,OB,0.12255878746509552
15,14197,OB SR,SR,0.13129115104675293
16,14197,EB SR,EB,0.34000521898269653
17,14197,EB SR,SR,0.10673215985298157
18,15899,OB,OB,0.38060659170150757
19,15899,EB,EB,0.381662517786026
20,15899,SR,SR,0.25330162048339844
21,15899,OB EB,OB,0.3737563490867615
22,15899,OB EB,EB,0.4464462697505951
23,15899,OB SR,OB,0.4026395380496979
24,15899,OB SR,SR,0.42182230949401855
25,15899,EB SR,EB,0.4797897934913635
26,15899,EB SR,SR,0.24349483847618103
27,17758,OB,OB,0.3139011859893799
28,17758,EB,EB,0.487911194562912
29,17758,SR,SR,0.22965136170387268
30,17758,OB EB,OB,0.28372764587402344
31,17758,OB EB,EB,0.3842017352581024
32,17758,OB SR,OB,0.2591314911842346
33,17758,OB SR,SR,0.31592753529548645
34,17758,EB SR,EB,0.41086524724960327
35,17758,EB SR,SR,0.26477035880088806
36,17894,OB,OB,0.4444301128387451
37,17894,EB,EB,0.36864811182022095
38,17894,SR,SR,0.3318274915218353
39,17894,OB EB,OB,0.46727514266967773
40,17894,OB EB,EB,0.38511669635772705
41,17894,OB SR,OB,0.468217134475708
42,17894,OB SR,SR,0.368380606174469
43,17894,EB SR,EB,0.4220854640007019
44,17894,EB SR,SR,0.39535266160964966
45,18016,OB,OB,0.380748450756073
46,18016,EB,EB,0.33473652601242065
47,18016,SR,SR,0.26155996322631836
48,18016,OB EB,OB,0.40726977586746216
49,18016,OB EB,EB,0.493305504322052
50,18016,OB SR,OB,0.3790155053138733
51,18016,OB SR,SR,0.2513402998447418
52,18016,EB SR,EB,0.36266112327575684
53,18016,EB SR,SR,0.25999361276626587
54,18268,OB,OB,0.3568100929260254
55,18268,EB,EB,0.32504865527153015
56,18268,SR,SR,0.2654472589492798
57,18268,OB EB,OB,0.36963164806365967
58,18268,OB EB,EB,0.2733055651187897
59,18268,OB SR,OB,0.34338611364364624
60,18268,OB SR,SR,0.18347826600074768
61,18268,EB SR,EB,0.305833101272583
62,18268,EB SR,SR,0.24456337094306946
63,18335,OB,OB,0.29840150475502014
64,18335,EB,EB,0.4020980894565582
65,18335,SR,SR,0.22406834363937378
66,18335,OB EB,OB,0.3229454755783081
67,18335,OB EB,EB,0.30524569749832153
68,18335,OB SR,OB,0.2905677556991577
69,18335,OB SR,SR,0.19885659217834473
70,18335,EB SR,EB,0.36963793635368347
71,18335,EB SR,SR,0.2312830239534378
72,18915,OB,OB,0.30669957399368286
73,18915,EB,EB,0.4593239724636078
74,18915,SR,SR,0.29218989610671997
75,18915,OB EB,OB,0.33348479866981506
76,18915,OB EB,EB,0.44604039192199707
77,18915,OB SR,OB,0.24780382215976715
78,18915,OB SR,SR,0.2714574933052063
79,18915,EB SR,EB,0.41915059089660645
80,18915,EB SR,SR,0.2637462615966797
81,19458,OB,OB,0.3270827531814575
82,19458,EB,EB,0.3153535723686218
83,19458,SR,SR,0.39183253049850464
84,19458,OB EB,OB,0.2573941648006439
85,19458,OB EB,EB,0.2793999910354614
86,19458,OB SR,OB,0.3270827531814575
87,19458,OB SR,SR,0.40841299295425415
88,19458,EB SR,EB,0.32726502418518066
89,19458,EB SR,SR,0.4126504361629486
90,19651,OB,OB,0.4662567973136902
91,19651,EB,EB,0.28848186135292053
92,19651,SR,SR,0.4337778687477112
93,19651,OB EB,OB,0.4614407420158386
94,19651,OB EB,EB,0.271810382604599
95,19651,OB SR,OB,0.48132339119911194
96,19651,OB SR,SR,0.42196986079216003
97,19651,EB SR,EB,0.26351398229599
98,19651,EB SR,SR,0.4559222161769867
99,19933,OB,OB,0.30114293098449707
100,19933,EB,EB,0.06959672272205353
101,19933,SR,SR,0.24346736073493958
102,19933,OB EB,OB,0.2778194844722748
103,19933,OB EB,EB,0.2302226722240448
104,19933,OB SR,OB,0.23242738842964172
105,19933,OB SR,SR,0.25136756896972656
106,19933,EB SR,EB,0.2420225441455841
107,19933,EB SR,SR,0.24024009704589844
108,20249,OB,OB,0.1903906762599945
109,20249,EB,EB,0.2912696897983551
110,20249,SR,SR,0.25454676151275635
111,20249,OB EB,OB,0.25924134254455566
112,20249,OB EB,EB,0.28429874777793884
113,20249,OB SR,OB,0.21056728065013885
114,20249,OB SR,SR,0.22907763719558716
115,20249,EB SR,EB,0.28406208753585815
116,20249,EB SR,SR,0.25454676151275635
117,2120,OB,OB,0.41571688652038574
118,2120,EB,EB,0.40835538506507874
119,2120,SR,SR,0.44973957538604736
120,2120,OB EB,OB,0.4334256052970886
121,2120,OB EB,EB,0.38491299748420715
122,2120,OB SR,OB,0.4206581115722656
123,2120,OB SR,SR,0.3918415606021881
124,2120,EB SR,EB,0.38887548446655273
125,2120,EB SR,SR,0.46219295263290405
126,22360,OB,OB,0.36416423320770264
127,22360,EB,EB,0.329505980014801
128,22360,SR,SR,0.4219359755516052
129,22360,OB EB,OB,0.4433184564113617
130,22360,OB EB,EB,0.5198734998703003
131,22360,OB SR,OB,0.374618262052536
132,22360,OB SR,SR,0.38032910227775574
133,22360,EB SR,EB,0.337261825799942
134,22360,EB SR,SR,0.4024801552295685
135,23267,OB,OB,0.24593405425548553
136,23267,EB,EB,0.3388627767562866
137,23267,SR,SR,0.23656126856803894
138,23267,OB EB,OB,0.22893068194389343
139,23267,OB EB,EB,0.3599390685558319
140,23267,OB SR,OB,0.2725585103034973
141,23267,OB SR,SR,0.2690536677837372
142,23267,EB SR,EB,0.3853335380554199
143,23267,EB SR,SR,0.20929011702537537
144,2345,OB,OB,0.3082737624645233
145,2345,EB,EB,0.3534015119075775
146,2345,SR,SR,0.3743247985839844
147,2345,OB EB,OB,0.32165607810020447
