,bug_id,feature_combine,feature_name,score
0,112458,OB,OB,0.8022811412811279
1,112458,EB,EB,0.7545362114906311
2,112458,SR,SR,0.6661536693572998
3,112458,OB_EB,OB,0.7736560106277466
4,112458,OB_EB,EB,0.7507616281509399
5,112458,OB_SR,OB,0.8046131730079651
6,112458,OB_SR,SR,0.7058883905410767
7,112458,EB_SR,EB,0.774491012096405
8,112458,EB_SR,SR,0.6816691160202026
9,11280,OB,OB,0.6407659649848938
10,11280,EB,EB,0.6505764126777649
11,11280,SR,SR,0.766620934009552
12,11280,OB_EB,OB,0.6363292336463928
13,11280,OB_EB,EB,0.9004552960395813
14,11280,OB_SR,OB,0.6397659182548523
15,11280,OB_SR,SR,0.8020738959312439
16,11280,EB_SR,EB,0.7499818801879883
17,11280,EB_SR,SR,0.76872718334198
18,151938,OB,OB,0.9140293598175049
19,151938,EB,EB,0.8968278169631958
20,151938,SR,SR,0.7744088172912598
21,151938,OB_EB,OB,0.9356673955917358
22,151938,OB_EB,EB,0.8342230916023254
23,151938,OB_SR,OB,0.681844174861908
24,151938,OB_SR,SR,0.7496440410614014
25,151938,EB_SR,EB,0.8306934237480164
26,151938,EB_SR,SR,0.8460723161697388
27,269522,OB,OB,0.7534560561180115
28,269522,EB,EB,0.40510210394859314
29,269522,SR,SR,0.8300402760505676
30,269522,OB_EB,OB,0.7440097332000732
31,269522,OB_EB,EB,0.7720296382904053
32,269522,OB_SR,OB,0.9288615584373474
33,269522,OB_SR,SR,0.7955867648124695
34,269522,EB_SR,EB,0.6678395867347717
35,269522,EB_SR,SR,0.7449994683265686
36,37021,OB,OB,0.8627746105194092
37,37021,EB,EB,0.9030212759971619
38,37021,SR,SR,0.8816026449203491
39,37021,OB_EB,OB,0.8226534128189087
40,37021,OB_EB,EB,0.8867751955986023
41,37021,OB_SR,OB,0.9200424551963806
42,37021,OB_SR,SR,0.9073023200035095
43,37021,EB_SR,EB,0.8938843011856079
44,37021,EB_SR,SR,0.8828843832015991
45,38131,OB,OB,0.7508397698402405
46,38131,EB,EB,0.761584997177124
47,38131,SR,SR,0.6088674068450928
48,38131,OB_EB,OB,0.8380696177482605
49,38131,OB_EB,EB,0.6868178248405457
50,38131,OB_SR,OB,0.8148639798164368
51,38131,OB_SR,SR,0.7040470242500305
52,38131,EB_SR,EB,0.802580714225769
53,38131,EB_SR,SR,0.5723004937171936
54,47910,OB,OB,0.7939110398292542
55,47910,EB,EB,0.8696548938751221
56,47910,SR,SR,0.8228912353515625
57,47910,OB_EB,OB,0.7889955639839172
58,47910,OB_EB,EB,0.8435021638870239
59,47910,OB_SR,OB,0.7178200483322144
60,47910,OB_SR,SR,0.8228912353515625
61,47910,EB_SR,EB,0.8232492208480835
62,47910,EB_SR,SR,0.7847529649734497
