,bug_id,feature_com,feature,score
0,49195,OB,OB,0.3106776177883148
1,49195,EB,EB,0.3005073666572571
2,49195,SR,SR,0.3922182321548462
3,49195,OB EB,OB,0.30520111322402954
4,49195,OB EB,EB,0.24640727043151855
5,49195,OB SR,OB,0.29985281825065613
6,49195,OB SR,SR,0.5080515146255493
7,49195,EB SR,EB,0.3037821054458618
8,49195,EB SR,SR,0.3978930115699768
9,49235,OB,OB,0.40412312746047974
10,49235,EB,EB,0.46903684735298157
11,49235,SR,SR,0.425529807806015
12,49235,OB EB,OB,0.3742155134677887
13,49235,OB EB,EB,0.32852619886398315
14,49235,OB SR,OB,0.3931015133857727
15,49235,OB SR,SR,0.3894474506378174
16,49235,EB SR,EB,0.344442218542099
17,49235,EB SR,SR,0.388702929019928
18,49299,OB,OB,0.3215990364551544
19,49299,EB,EB,0.4346632957458496
20,49299,SR,SR,0.19818727672100067
21,49299,OB EB,OB,0.3704340159893036
22,49299,OB EB,EB,0.480348140001297
23,49299,OB SR,OB,0.36245062947273254
24,49299,OB SR,SR,0.2127080261707306
25,49299,EB SR,EB,0.432836651802063
26,49299,EB SR,SR,0.23011547327041626
27,49503,OB,OB,0.17082560062408447
28,49503,EB,EB,0.36774906516075134
29,49503,SR,SR,0.1782623827457428
30,49503,OB EB,OB,0.1503976285457611
31,49503,OB EB,EB,0.376657634973526
32,49503,OB SR,OB,0.15839090943336487
33,49503,OB SR,SR,0.23045577108860016
34,49503,EB SR,EB,0.3550232946872711
35,49503,EB SR,SR,0.18805032968521118
36,49536,OB,OB,0.26759305596351624
37,49536,EB,EB,0.36743712425231934
38,49536,SR,SR,0.42782920598983765
39,49536,OB EB,OB,0.33017846941947937
40,49536,OB EB,EB,0.3852286636829376
41,49536,OB SR,OB,0.3615160584449768
42,49536,OB SR,SR,0.42782920598983765
43,49536,EB SR,EB,0.36743712425231934
44,49536,EB SR,SR,0.415007084608078
45,49890,OB,OB,0.29255425930023193
46,49890,EB,EB,0.3510390520095825
47,49890,SR,SR,0.22974243760108948
48,49890,OB EB,OB,0.29654085636138916
49,49890,OB EB,EB,0.36350226402282715
50,49890,OB SR,OB,0.3122117221355438
51,49890,OB SR,SR,0.3702216148376465
52,49890,EB SR,EB,0.3615720868110657
53,49890,EB SR,SR,0.26494354009628296
54,50016,OB,OB,0.19348905980587006
55,50016,EB,EB,0.34678351879119873
56,50016,SR,SR,0.3811351954936981
57,50016,OB EB,OB,0.2545117139816284
58,50016,OB EB,EB,0.409932017326355
59,50016,OB SR,OB,0.24009835720062256
60,50016,OB SR,SR,0.3739128112792969
61,50016,EB SR,EB,0.3434910774230957
62,50016,EB SR,SR,0.44536885619163513
63,50059,OB,OB,0.4591566026210785
64,50059,EB,EB,0.3238707184791565
65,50059,SR,SR,0.37945371866226196
66,50059,OB EB,OB,0.4280030131340027
67,50059,OB EB,EB,0.3492661118507385
68,50059,OB SR,OB,0.46341657638549805
69,50059,OB SR,SR,0.45627516508102417
70,50059,EB SR,EB,0.3442584276199341
71,50059,EB SR,SR,0.41317251324653625
72,50550,OB,OB,0.2709078788757324
73,50550,EB,EB,0.18047091364860535
74,50550,SR,SR,0.25564104318618774
75,50550,OB EB,OB,0.27081143856048584
76,50550,OB EB,EB,0.22791454195976257
77,50550,OB SR,OB,0.26351138949394226
78,50550,OB SR,SR,0.25930076837539673
79,50550,EB SR,EB,0.1912010908126831
80,50550,EB SR,SR,0.24504122138023376
81,50793,OB,OB,0.24085301160812378
82,50793,EB,EB,0.2699761688709259
83,50793,SR,SR,0.1936221867799759
84,50793,OB EB,OB,0.2618754208087921
85,50793,OB EB,EB,0.2592194080352783
86,50793,OB SR,OB,0.18550753593444824
87,50793,OB SR,SR,0.1741761863231659
88,50793,EB SR,EB,0.2627147138118744
89,50793,EB SR,SR,0.19500413537025452
