,bug_id,feature_com,feature,score
0,12398,OB,OB,0.9034075736999512
1,12398,EB,EB,0.8497980237007141
2,12398,SR,SR,0.8402200937271118
3,12398,OB EB,OB,0.8827921152114868
4,12398,OB EB,EB,0.8092040419578552
5,12398,OB SR,OB,0.6902412176132202
6,12398,OB SR,SR,0.8125134110450745
7,12398,EB SR,EB,0.8497980237007141
8,12398,EB SR,SR,0.850032389163971
9,13725,OB,OB,0.7766008377075195
10,13725,EB,EB,0.8140135407447815
11,13725,SR,SR,0.9627605080604553
12,13725,OB EB,OB,0.8156906366348267
13,13725,OB EB,EB,0.8369888663291931
14,13725,OB SR,OB,0.7339637875556946
15,13725,OB SR,SR,0.9439241886138916
16,13725,EB SR,EB,0.8406495451927185
17,13725,EB SR,SR,0.9578086137771606
18,14047,OB,OB,0.7435734272003174
19,14047,EB,EB,0.8042632937431335
20,14047,SR,SR,0.6682876944541931
21,14047,OB EB,OB,0.6525324583053589
22,14047,OB EB,EB,0.8064826130867004
23,14047,OB SR,OB,0.7812054753303528
24,14047,OB SR,SR,0.6602391004562378
25,14047,EB SR,EB,0.8099416494369507
26,14047,EB SR,SR,0.6832133531570435
27,17289,OB,OB,0.8299512267112732
28,17289,EB,EB,0.8001857399940491
29,17289,SR,SR,0.638210117816925
30,17289,OB EB,OB,0.8679628372192383
31,17289,OB EB,EB,0.8246753215789795
32,17289,OB SR,OB,0.9044857621192932
33,17289,OB SR,SR,0.6716369986534119
34,17289,EB SR,EB,0.8288852572441101
35,17289,EB SR,SR,0.7290132641792297
36,17825,OB,OB,0.6810591816902161
37,17825,EB,EB,0.7644938230514526
38,17825,SR,SR,0.8416720032691956
39,17825,OB EB,OB,0.7409735918045044
40,17825,OB EB,EB,0.8191264867782593
41,17825,OB SR,OB,0.7036345601081848
42,17825,OB SR,SR,0.8696045279502869
43,17825,EB SR,EB,0.7597473859786987
44,17825,EB SR,SR,0.8648920655250549
45,17993,OB,OB,0.8221932053565979
