,bug_id,feature_com,feature,score
0,112458,OB,OB,0.41247889399528503
1,112458,EB,EB,0.18671700358390808
2,112458,SR,SR,0.3028225898742676
3,112458,OB EB,OB,0.43268337845802307
4,112458,OB EB,EB,0.20291867852210999
5,112458,OB SR,OB,0.42898082733154297
6,112458,OB SR,SR,0.20475874841213226
7,112458,EB SR,EB,0.18928676843643188
8,112458,EB SR,SR,0.21386997401714325
9,11280,OB,OB,0.3812577724456787
10,11280,EB,EB,0.3328191637992859
11,11280,SR,SR,0.3423651456832886
12,11280,OB EB,OB,0.5936853885650635
13,11280,OB EB,EB,0.3508197069168091
14,11280,OB SR,OB,0.4468475878238678
15,11280,OB SR,SR,0.3352469205856323
16,11280,EB SR,EB,0.334372878074646
17,11280,EB SR,SR,0.34414392709732056
18,151938,OB,OB,0.24216726422309875
19,151938,EB,EB,0.3768652379512787
20,151938,SR,SR,0.2501181364059448
21,151938,OB EB,OB,0.264801025390625
22,151938,OB EB,EB,0.38174885511398315
23,151938,OB SR,OB,0.2820630669593811
24,151938,OB SR,SR,0.2501181364059448
25,151938,EB SR,EB,0.37585052847862244
26,151938,EB SR,SR,0.24648261070251465
27,269522,OB,OB,0.24441146850585938
28,269522,EB,EB,0.2588846683502197
29,269522,SR,SR,0.300296425819397
30,269522,OB EB,OB,0.2664659023284912
31,269522,OB EB,EB,0.27300235629081726
32,269522,OB SR,OB,0.25285619497299194
33,269522,OB SR,SR,0.300296425819397
34,269522,EB SR,EB,0.2822358310222626
35,269522,EB SR,SR,0.2908923029899597
36,28974,OB,OB,0.3247992992401123
37,28974,EB,EB,0.37794724106788635
38,28974,SR,SR,0.30267468094825745
39,28974,OB EB,OB,0.3385904133319855
40,28974,OB EB,EB,0.3743441700935364
41,28974,OB SR,OB,0.33352214097976685
42,28974,OB SR,SR,0.3136996030807495
43,28974,EB SR,EB,0.40289682149887085
44,28974,EB SR,SR,0.2744496464729309
45,37021,OB,OB,0.269130140542984
46,37021,EB,EB,0.2939183712005615
47,37021,SR,SR,0.3152700662612915
48,37021,OB EB,OB,0.22095471620559692
49,37021,OB EB,EB,0.24337473511695862
50,37021,OB SR,OB,0.2165086716413498
51,37021,OB SR,SR,0.2397146224975586
52,37021,EB SR,EB,0.269937664270401
53,37021,EB SR,SR,0.23868277668952942
54,38131,OB,OB,0.2723321318626404
55,38131,EB,EB,0.5035953521728516
56,38131,SR,SR,0.2820237874984741
57,38131,OB EB,OB,0.29070836305618286
58,38131,OB EB,EB,0.3709447383880615
59,38131,OB SR,OB,0.26594382524490356
60,38131,OB SR,SR,0.2866823971271515
61,38131,EB SR,EB,0.4447253346443176
62,38131,EB SR,SR,0.3071173429489136
63,47910,OB,OB,0.47461825609207153
64,47910,EB,EB,0.1956198662519455
65,47910,SR,SR,0.44234123826026917
66,47910,OB EB,OB,0.4524701237678528
67,47910,OB EB,EB,0.15541860461235046
68,47910,OB SR,OB,0.4782199263572693
69,47910,OB SR,SR,0.4613283574581146
70,47910,EB SR,EB,0.2146373987197876
71,47910,EB SR,SR,0.4405142664909363
