,bug_id,title,desc
0,11587,65,9980
1,12398,31,448
2,12772,41,2768
3,13725,68,1187
4,14047,73,466
5,14799,64,2714
6,17289,60,333
7,17825,57,445
8,17993,75,1665
9,18705,44,377
10,18934,63,642
11,19089,49,449
12,19925,49,16340
13,21212,96,2296
14,21706,52,1326
15,21834,50,1496
16,22839,81,1106
17,23787,85,640
18,23935,57,603
19,24106,75,2872
20,24877,54,984
21,27869,47,969
22,31627,93,1221
23,32286,77,1444
24,32770,65,717
25,35156,61,1462
26,41039,96,1150
27,41347,71,1164
28,42225,47,588
29,42724,69,1182
30,42882,62,2261
31,44164,75,644
32,45145,54,628
